core_name,core_no.,core_depth,obs_sand_pct,obs_silt_pct,obs_clay_pct,obs_texture,wss1,wss1_silt_pct,wss1_sand_pct,wss1_clay_pct,wss1_texture,wss1_txt_mtd,wss1_ksat,wss1_ksat_mtd,wss2,wss2_silt_pct,wss2_sand_pct,wss2_clay_pct,wss2_texture,wss2_txt_mtd,wss2_ksat,wss2_ksat_mtd,longitude,latitude,wss3,wss3_silt_pct,wss3_sand_pct,wss3_clay_pct,wss3_texture,wss3txt_mtd,wss3_ksat,wss3_ksat_mtd,wss4,wss4_silt_pct,wss4_sand_pct,wss4_clay_pct,wss4_texture,wss4txt_mtd,wss4_ksat,wss4_ksat_mtd,wss5,wss5_silt_pct,wss5_sand_pct,wss5_clay_pct,wss5_texture,wss5txt_mtd,wss5_ksat,wss5_ksat_mtd,wss6,wss6_silt_pct,wss6_sand_pct,wss6_clay_pct,wss6_texture,wss6_txt_mtd,wss6_ksat,wss6_ksat_mtd
uic,GH Pr,80-90,53.8,18.1,28.1,Sandy Clay Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Pr,90-100,15.9,48.1,36,Silty Clay Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Veg,0-10,10.6,56.7,32.7,Silty Clay Loam,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6462674,41.8693906,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Veg,10-20,21.6,45.3,33.1,Clay Loam,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6462674,41.8693906,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Veg,20-30,46.6,49,4.4,Sandy Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462674,41.8693906,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Veg,30-40,63.8,21.6,14.6,Sandy Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462674,41.8693906,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Veg,40-50,75.7,20.3,4,Loamy Sand,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462674,41.8693906,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Sw,0-10,32.7,33.2,34.1,Clay Loam,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6467166,41.8689476,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Sw,10-20,55.9,11.8,32.3,Sandy Clay Loam,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6467166,41.8689476,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Sw,20-30,50.7,15,34.3,Sandy Clay Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6467166,41.8689476,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Sw,30-40,79.1,0.9,20,Sandy Clay Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6467166,41.8689476,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,0-10,0.3,77.6,22.1,Silt Loam,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,10-20,100,0,0,Sand,Orthents,40,35,25,Loam,1,10.152,1,Orthents,40,35,25,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,48,8.0,44.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,20-30,63.9,5.2,30.9,Sandy Clay Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,30-40,68.9,31.1,0,Sandy Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,40-50,51.5,48.5,0,Sandy Loam,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,50-60,76.7,23.3,0,Loamy Sand,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uic,GH Ne,60-70,83.5,10.8,5.7,Loamy Sand,Orthents,34.5,38,27.5,Loam,1,10.152,1,Orthents,34.5,38,27.5,Loam,1,10.152,1,-87.6462271,41.8689701,Orthents,41,11.0,48.0,Silt Clay,1.0,1.008,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
